"","V1","V2"
"1",1,3
"2",2,3
"3",3,4
"4",5,6
"5",5,7
"6",6,9
"7",8,9
"8",7,10
"9",9,10
"10",9,11
"11",3,14
"12",11,14
"13",11,15
"14",12,15
"15",12,16
"16",13,16
"17",15,18
"18",10,20
"19",14,20
"20",18,20
"21",20,22
"22",20,23
"23",18,26
"24",19,26
"25",24,26
"26",18,28
"27",26,28
"28",27,28
"29",21,30
"30",22,30
"31",22,31
"32",23,31
"33",23,32
"34",32,33
"35",24,34
"36",25,34
"37",33,36
"38",27,37
"39",28,37
"40",36,37
"41",27,38
"42",29,38
"43",17,39
"44",24,39
"45",35,39
"46",19,40
"47",39,40
"48",36,41
"49",31,42
