"","x"
"1",3.889
"2",4.905
"3",4.661
"4",3.838
"5",2.725
"6",5.029
"7",4.013
"8",0.124
"9",3.718
"10",0
"11",5.052
"12",4.652
"13",9.344
"14",8.817
"15",5.522
"16",5.086
"17",4.491
"18",0.367
"19",0.233
"20",2.536
"21",9.361
"22",8.352
"23",5.319
"24",2.496
"25",0.351
"26",0.29
"27",2.38
"28",9.689
"29",5.539
"30",10.321
"31",9.769
"32",8.309
"33",7.792
"34",9.896
"35",8.404
"36",6.774
"37",6.701
"38",3.573
"39",9.211
"40",9.652
"41",8.113
"42",7.458
"43",7.976
"44",7.497
"45",7.47
"46",7.13
"47",6.425
"48",5.8
