"","V1","V2"
"1",1,3
"2",2,7
"3",5,7
"4",2,8
"5",3,8
"6",3,9
"7",9,12
"8",10,12
"9",7,13
"10",6,14
"11",13,14
"12",12,15
"13",8,16
"14",13,16
"15",13,17
"16",14,17
"17",16,20
"18",12,21
"19",17,22
"20",18,22
"21",19,22
"22",19,23
"23",20,23
"24",15,24
"25",20,24
"26",23,24
"27",11,25
"28",15,25
"29",21,25
"30",4,26
"31",22,28
"32",28,29
"33",26,30
"34",28,31
"35",20,32
"36",31,32
"37",26,33
"38",32,33
"39",24,34
"40",21,35
"41",35,36
"42",32,37
"43",27,38
"44",34,38
"45",37,38
"46",25,39
"47",32,39
"48",33,39
"49",35,39
"50",34,40
"51",35,40
"52",31,41
"53",37,41
"54",31,42
"55",32,42
"56",41,42
"57",29,43
"58",31,43
"59",38,44
"60",41,44
"61",42,46
"62",45,46
"63",39,47
"64",42,47
"65",46,47
"66",40,48
"67",44,48
"68",39,49
"69",40,49
"70",46,50
"71",49,51
"72",43,52
