"","x"
"1",1.037
"2",1.184
"3",2.785
"4",11.913
"5",0.508
"6",0.631
"7",0.912
"8",9.442
"9",2.959
"10",0.43
"11",3.217
"12",6.873
"13",11.763
"14",0.783
"15",0.394
"16",4.849
"17",7.683
"18",9.758
"19",1.018
"20",0.818
"21",0.476
"22",0.316
"23",7.524
"24",4.636
"25",4.887
"26",0.838
"27",1.621
"28",1.618
"29",0.464
"30",0.359
"31",0.615
"32",1.18
"33",8.529
"34",6.793
"35",8.609
"36",9.655
"37",8.566
"38",8.517
"39",3.81
"40",9.321
"41",1.363
"42",4.669
"43",0.356
"44",9.695
"45",6.897
"46",3.91
